variant,order,run,cycles_per_poly,rng_calls,rng_wait_cycles,rng_error_flags,checksum,stack_bytes
seq,5,5,5488916,48120,577440,0x00000000,0x70183033,2604
seq,5,6,5488916,48120,577440,0x00000000,0x09ECDD34,2604
seq,5,7,5488916,48120,577440,0x00000000,0xD83EA2E3,2604
seq,5,8,5488916,48120,577440,0x00000000,0xE0AB12EF,2604
seq,5,9,5488916,48120,577440,0x00000000,0xE31E7648,2604
seq,5,10,5488916,48120,577440,0x00000000,0x6C4E191B,2604
seq,5,11,5488916,48120,577440,0x00000000,0xC6EB24D7,2604
tree,5,1,2392893,16088,193056,0x00000000,0x79BC1CF2,4588
tree,5,2,2392893,16088,193056,0x00000000,0x4CB09BD1,4588
tree,5,3,2392893,16088,193056,0x00000000,0xF4E49B00,4588
tree,5,4,2392893,16088,193056,0x00000000,0x6E899ABE,4588
tree,5,5,2392893,16088,193056,0x00000000,0xA653336A,4588
tree,5,6,2392893,16088,193056,0x00000000,0xFAD5FD52,4588
tree,5,7,2392893,16088,193056,0x00000000,0x0EA96579,4588
tree,5,8,2392893,16088,193056,0x00000000,0x887182AC,4588
tree,5,9,2392893,16088,193056,0x00000000,0xE323F890,4588
tree,5,10,2392893,16088,193056,0x00000000,0xE890BF81,4588
tree,5,11,2392893,16088,193056,0x00000000,0x50877D39,4588
seq,6,1,8697564,79968,959616,0x00000000,0x94D1ECCF,2604
seq,6,2,8697564,79968,959616,0x00000000,0x2A81FA5C,2604
seq,6,3,8697564,79968,959616,0x00000000,0xA7080E1E,2604
seq,6,4,8697564,79968,959616,0x00000000,0x42931A35,2604
seq,6,5,8697564,79968,959616,0x00000000,0x65C7DAA0,2604
seq,6,6,8697564,79968,959616,0x00000000,0x0397838F,2604
seq,6,7,8697564,79968,959616,0x00000000,0x4D094C8B,2604
seq,6,8,8697564,79968,959616,0x00000000,0xFC9799BB,2604
seq,6,9,8697564,79968,959616,0x00000000,0x46517FF2,2604
seq,6,10,8697564,79968,959616,0x00000000,0x75976F89,2604
seq,6,11,8697564,79968,959616,0x00000000,0x88AD6477,2604
tree,6,1,3182829,22712,272544,0x00000000,0x6A3660DD,4588
tree,6,2,3182829,22712,272544,0x00000000,0x29C5DD2C,4588
tree,6,3,3182829,22712,272544,0x00000000,0xB2684181,4588
tree,6,4,3182829,22712,272544,0x00000000,0xB2B7E966,4588
tree,6,5,3182829,22712,272544,0x00000000,0xA44C1588,4588
tree,6,6,3182829,22712,272544,0x00000000,0x35ADB85D,4588
tree,6,7,3182829,22712,272544,0x00000000,0x716787DB,4588
tree,6,8,3182829,22712,272544,0x00000000,0xF434DFD3,4588
tree,6,9,3182829,22712,272544,0x00000000,0xE617E336,4588
tree,6,10,3182829,22712,272544,0x00000000,0x66D3BF57,4588
tree,6,11,3182829,22712,272544,0x00000000,0xD5809AAC,4588
seq,7,1,12991924,123424,1481088,0x00000000,0x61F578AE,2604
seq,7,2,12991924,123424,1481088,0x00000000,0xFF58BA57,2604
seq,7,3,12991924,123424,1481088,0x00000000,0x8EEF2E48,2604
seq,7,4,12991924,123424,1481088,0x00000000,0x0F718FE8,2604
seq,7,5,12991924,123424,1481088,0x00000000,0xBE311D93,2604
seq,7,6,12991924,123424,1481088,0x00000000,0xA10C2EAF,2604
seq,7,7,12991924,123424,1481088,0x00000000,0x7FD23A8C,2604
seq,7,8,12991924,123424,1481088,0x00000000,0xAF0A4873,2604
seq,7,9,12991924,123424,1481088,0x00000000,0xA199DDB8,2604
seq,7,10,12991924,123424,1481088,0x00000000,0x90CAE5A7,2604
seq,7,11,12991924,123424,1481088,0x00000000,0xD09CB056,2604
tree,7,1,4026765,29936,359232,0x00000000,0x52312D21,4588
tree,7,2,4026765,29936,359232,0x00000000,0xB5FADFCD,4588
tree,7,3,4026765,29936,359232,0x00000000,0xE1704AEA,4588
tree,7,4,4026765,29936,359232,0x00000000,0x10CB98CC,4588
tree,7,5,4026765,29936,359232,0x00000000,0xD851E2D0,4588
tree,7,6,4026765,29936,359232,0x00000000,0x8A26B8EE,4588
tree,7,7,4026765,29936,359232,0x00000000,0x15C1E7F1,4588
tree,7,8,4026765,29936,359232,0x00000000,0xC72EF290,4588
tree,7,9,4026765,29936,359232,0x00000000,0xDEA1C071,4588
tree,7,10,4026765,29936,359232,0x00000000,0x5794E459,4588
tree,7,11,4026765,29936,359232,0x00000000,0x3E741E08,4588
seq,8,1,18533996,180288,2163456,0x00000000,0x67626DAA,2604
seq,8,2,18533996,180288,2163456,0x00000000,0x4B220075,2604
seq,8,3,18533996,180288,2163456,0x00000000,0x9A5D07BE,2604
seq,8,4,18533996,180288,2163456,0x00000000,0xF7CA8E53,2604
seq,8,5,18533996,180288,2163456,0x00000000,0x2EDD056E,2604
seq,8,6,18533996,180288,2163456,0x00000000,0x9FEFE148,2604
seq,8,7,18533996,180288,2163456,0x00000000,0x9A8A9F94,2604
seq,8,8,18533996,180288,2163456,0x00000000,0xB5B3EF72,2604
seq,8,9,18533996,180288,2163456,0x00000000,0x150102F0,2604
seq,8,10,18533996,180288,2163456,0x00000000,0x0F32EF8D,2604
seq,8,11,18533996,180288,2163456,0x00000000,0xD5A46E6E,2604
tree,8,1,5126125,39768,477216,0x00000000,0x5B298166,5580
tree,8,2,5126125,39768,477216,0x00000000,0xE6C8EFA2,5580
tree,8,3,5126125,39768,477216,0x00000000,0x7CE4CF36,5580
tree,8,4,5126125,39768,477216,0x00000000,0x3D7D5D9F,5580
tree,8,5,5126125,39768,477216,0x00000000,0x5C5BF6B5,5580
tree,8,6,5126125,39768,477216,0x00000000,0x23955874,5580
tree,8,7,5126125,39768,477216,0x00000000,0x99B47F49,5580
tree,8,8,5126125,39768,477216,0x00000000,0x808BB052,5580
tree,8,9,5126125,39768,477216,0x00000000,0x8910C77A,5580
tree,8,10,5126125,39768,477216,0x00000000,0x289503B9,5580
tree,8,11,5126125,39768,477216,0x00000000,0xBE1C0644,5580
