variant,order,run,cycles_per_poly,rng_calls,rng_wait_cycles,rng_error_flags,checksum,stack_bytes
seq,5,5,5488916,48120,577440,0x00000000,0x0BFE7211,2604
seq,5,6,5488916,48120,577440,0x00000000,0x42425485,2604
seq,5,7,5488916,48120,577440,0x00000000,0x697C5B29,2604
seq,5,8,5488916,48120,577440,0x00000000,0xFE9BE2F9,2604
seq,5,9,5488916,48120,577440,0x00000000,0xC9BC3DA9,2604
seq,5,10,5488916,48120,577440,0x00000000,0x35430DD1,2604
seq,5,11,5488916,48120,577440,0x00000000,0xAD3BA0E7,2604
tree,5,1,2392893,16088,193056,0x00000000,0xCD8B9371,4588
tree,5,2,2392893,16088,193056,0x00000000,0xC1C1B7A6,4588
tree,5,3,2392893,16088,193056,0x00000000,0x51FDA2E7,4588
tree,5,4,2392893,16088,193056,0x00000000,0xB8D4F556,4588
tree,5,5,2392893,16088,193056,0x00000000,0x2A1AE228,4588
tree,5,6,2392893,16088,193056,0x00000000,0x3202D3E1,4588
tree,5,7,2392893,16088,193056,0x00000000,0x5A61923A,4588
tree,5,8,2392893,16088,193056,0x00000000,0x7676BFF6,4588
tree,5,9,2392893,16088,193056,0x00000000,0x9139C1C0,4588
tree,5,10,2392893,16088,193056,0x00000000,0x36A85E5B,4588
tree,5,11,2392893,16088,193056,0x00000000,0x6E4F5010,4588
seq,6,1,8697564,79968,959616,0x00000000,0xB38B3561,2604
seq,6,2,8697564,79968,959616,0x00000000,0xC3F1662A,2604
seq,6,3,8697564,79968,959616,0x00000000,0xF15E5FCC,2604
seq,6,4,8697564,79968,959616,0x00000000,0xC971FC76,2604
seq,6,5,8697564,79968,959616,0x00000000,0x4B8951FB,2604
seq,6,6,8697564,79968,959616,0x00000000,0xDD83827E,2604
seq,6,7,8697564,79968,959616,0x00000000,0x5247A414,2604
seq,6,8,8697564,79968,959616,0x00000000,0x35B6AC33,2604
seq,6,9,8697564,79968,959616,0x00000000,0x4E1269EF,2604
seq,6,10,8697564,79968,959616,0x00000000,0x2F1F8B5F,2604
seq,6,11,8697564,79968,959616,0x00000000,0x8657D81D,2604
tree,6,1,3182829,22712,272544,0x00000000,0xD3E5B471,4588
tree,6,2,3182829,22712,272544,0x00000000,0x9937CBDD,4588
tree,6,3,3182829,22712,272544,0x00000000,0xF1553EAD,4588
tree,6,4,3182829,22712,272544,0x00000000,0x041C0FAD,4588
tree,6,5,3182829,22712,272544,0x00000000,0xE498E3DD,4588
tree,6,6,3182829,22712,272544,0x00000000,0xEFB61311,4588
tree,6,7,3182829,22712,272544,0x00000000,0x1F513DFC,4588
